shape parameter	hindex	hlim1	hlim10	impact factor	information	random
0.1	1	0.54	0.0	0.54	0.54	0.0
1.17741	8	0.54	0.05	2.21	1.397954340765362	2.0
1.4823	7	0.39	0.04	1.91	1.1999396711637988	7.0
1.66511	9	0.47	0.09	3.0	1.5517350833893615	1.0
1.79412	10	0.52	0.11	3.61	1.6500803530919272	0.0
1.89302	9	0.51	0.08	3.54	1.6251941008553288	7.0
1.97277	10	0.44	0.1	3.29	1.4832790903048487	0.0
2.03933	9	0.41	0.09	3.28	1.4647995190168694	0.0
2.09629	10	0.47	0.11	7.06	1.784590158111986	0.0
2.14597	10	0.48	0.1	4.93	1.6066538547963503	5.0
2.18993	11	0.51	0.11	10.76	1.984693681425888	1.0
2.22931	10	0.42	0.12	15.14	1.8390204897940827	1.0
2.26493	11	0.55	0.12	7.51	2.1548374722003287	2.0
2.29741	18	0.51	0.22	11.56	2.536378293721773	1.0
2.32725	15	0.58	0.19	12.71	2.8277764442726903	0.0
2.35482	14	0.51	0.17	12.12	2.2876741939208016	0.0
2.38043	14	0.57	0.19	9.04	2.283218365986794	1.0
2.40432	15	0.56	0.21	11.45	2.5403574465280307	13.0
2.4267	15	0.5	0.19	11.33	2.4603665653186444	0.0
2.44775	12	0.52	0.15	18.31	2.248000669964361	10.0
