shape parameter	hindex	hlim1	hlim10	impact factor	information	random
0.1	1	0.55	0.0	0.55	0.55	0.0
1.17741	5	0.51	0.01	1.46	1.1158541484286355	1.0
1.4823	8	0.53	0.04	2.29	1.4727657141924035	1.0
1.66511	7	0.48	0.06	3.28	1.265827307500192	15.0
1.79412	11	0.57	0.11	5.35	1.8941562566888495	4.0
1.89302	14	0.49	0.16	5.72	1.9764507955976873	1.0
1.97277	12	0.45	0.14	3.59	1.6622924527760774	1.0
2.03933	12	0.54	0.15	21.72	2.156143989549598	0.0
2.09629	12	0.55	0.13	7.52	2.2215975345589687	1.0
2.14597	13	0.53	0.17	8.0	2.1177141839729403	0.0
2.18993	13	0.49	0.17	21.4	2.473545847508682	0.0
2.22931	15	0.51	0.19	29.87	2.7404727947771694	0.0
2.26493	14	0.45	0.19	74.08	2.27933154248702	0.0
2.29741	10	0.44	0.1	5.44	1.5994715067580478	0.0
2.32725	14	0.5	0.17	12.82	2.367242587563255	0.0
2.35482	9	0.48	0.07	4.94	1.6324378216998232	0.0
2.38043	13	0.51	0.17	15.46	2.2256351076048175	1.0
2.40432	14	0.52	0.14	4.56	2.038610735170383	1.0
2.4267	15	0.45	0.16	43.25	2.1766547173011945	0.0
2.44775	13	0.48	0.16	13.37	2.092595112865012	8.0
