shape parameter	hindex	hlim1	hlim10	impact factor	information	random
0.1	1	0.48	0.0	0.48	0.48	1.0
1.17741	7	0.48	0.04	1.59	1.132515253960742	7.0
1.4823	8	0.5	0.05	2.22	1.5196062601760576	0.0
1.66511	6	0.44	0.05	3.4	1.236657256820069	0.0
1.79412	8	0.5	0.08	4.05	1.5778734392101128	0.0
1.89302	11	0.61	0.14	4.95	2.144503506123927	0.0
1.97277	9	0.48	0.09	4.12	1.7429303984744338	0.0
2.03933	12	0.47	0.17	8.41	2.1797311614948724	1.0
2.09629	12	0.51	0.13	22.3	2.278996015622946	2.0
2.14597	13	0.57	0.18	8.02	2.345167649939139	43.0
2.18993	11	0.53	0.13	6.8	2.012081729183352	0.0
2.22931	13	0.58	0.14	9.39	2.312597177968155	30.0
2.26493	13	0.47	0.16	9.44	1.9579999696219772	0.0
2.29741	11	0.41	0.14	8.48	1.9163548374333785	108.0
2.32725	12	0.52	0.15	5.19	1.9275511220117552	12.0
2.35482	13	0.56	0.17	7.1	2.188131474411657	4.0
2.38043	12	0.51	0.15	15.48	2.289502831784942	0.0
2.40432	14	0.56	0.17	10.81	2.4526971198473597	47.0
2.4267	15	0.46	0.18	95.48	2.5339833250828816	0.0
2.44775	15	0.56	0.16	8.37	2.4347048863529532	1.0
