shape parameter	hindex	hlim1	hlim10	impact factor	information	random
0.1	1	0.56	0.0	0.56	0.56	1.0
1.17741	5	0.48	0.03	1.44	1.0138540434288723	0.0
1.4823	7	0.48	0.06	2.51	1.3439344572617566	0.0
1.66511	10	0.52	0.12	4.95	1.771489475454564	0.0
1.79412	8	0.52	0.05	2.25	1.4440614129928475	0.0
1.89302	9	0.43	0.09	2.81	1.3560518526799101	0.0
1.97277	9	0.52	0.06	2.92	1.6685332819559557	8.0
2.03933	9	0.47	0.07	4.0	1.489710483883215	0.0
2.09629	13	0.54	0.16	13.41	2.4136659669639395	12.0
2.14597	10	0.5	0.11	4.81	1.7016146014692524	10.0
2.18993	12	0.55	0.16	24.42	2.3325486306118766	1.0
2.22931	13	0.5	0.14	5.92	1.9668984933451197	13.0
2.26493	14	0.51	0.16	13.46	2.308997769874726	5.0
2.29741	10	0.4	0.11	10.84	1.8299803663407619	0.0
2.32725	11	0.5	0.15	7.27	1.888339240536712	2.0
2.35482	18	0.58	0.26	12.25	2.9889393514320703	0.0
2.38043	13	0.47	0.14	19.98	2.0025952640505045	0.0
2.40432	13	0.47	0.14	9.7	2.0548879219585636	0.0
2.4267	12	0.43	0.17	6.77	1.926302277027998	0.0
2.44775	13	0.52	0.17	20.24	2.329003565155902	0.0
